page_url,link_url,link_text,link_type,status,final_url,load_ms,depth,effort,category,timestamp
https://fai.gov/,https://fai.gov/news,View All News,Internal,200,https://fai.gov/news,843,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.ncmahq.org/Web/Membership/Individual-Award-Pages/Elmer-B.-Staats-Contracting-Professional-Excellence-Award.aspx,Learn More!,External,200,https://www.ncmahq.org/Web/Membership/Individual-Award-Pages/Elmer-B.-Staats-Contracting-Professional-Excellence-Award.aspx,284,0,None,OK,2026-03-13 07:51:39 EST
https://fai.gov/,https://www.ncmahq.org/Web/Membership/Individual-Award-Pages/Elmer-B.-Staats-Contracting-Professional-Excellence-Award.aspx,Call for Entries: Elmer B. Staats Award for Bold Acquisition,External,200,https://www.ncmahq.org/Web/Membership/Individual-Award-Pages/Elmer-B.-Staats-Contracting-Professional-Excellence-Award.aspx,306,0,None,OK,2026-03-13 07:51:39 EST
https://fai.gov/certification/fac-cor,https://fai.gov/certification/fac-cor,Skip to main content,Internal,200,https://fai.gov/certification/fac-cor,449,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://dau.csod.com/,FAI CSOD: Login,External,200,https://dau.csod.com/common/ssoerror.aspx?error=Object+reference+not+set+to+an+instance+of+an+object.,354,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://saar.dau.edu/,Registration,External,200,https://saar.dau.edu/,425,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://www.gsa.gov/policy-regulations/policy/acquisition-policy/office-of-acquisition-policy/federal-acquisition-institute,Subscribe,External,200,https://www.gsa.gov/policy-regulations/policy/acquisition-policy/office-of-acquisition-policy/federal-acquisition-institute,166,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/humancapital/acm,ACM/SAR Directory,Internal,200,https://fai.gov/humancapital/acm,673,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training/frequently-asked-questions-faqs,FAQ,Internal,200,https://fai.gov/training/frequently-asked-questions-faqs,664,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/page/contact-us,Contact Us,Internal,200,https://fai.gov/page/contact-us,661,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/,,Internal,200,https://fai.gov/,382,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/certification/certification-and-career-development-programs,Certification,Internal,200,https://fai.gov/certification/certification-and-career-development-programs,675,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/certification/fac-c,FAC-C,Internal,200,https://fai.gov/certification/fac-c,675,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/certification/fac-cor,FAC-COR,Internal,200,https://fai.gov/certification/fac-cor,449,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/certification/fac-ppm,FAC-P/PM,Internal,200,https://fai.gov/certification/fac-ppm,609,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/credentials,Credentials,Internal,200,https://fai.gov/credentials,613,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/credentials/federal-credentials,Federal Credentials,Internal,200,https://fai.gov/credentials/federal-credentials,502,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/credentials/DAU-credentials,DAU Credentials,Internal,200,https://fai.gov/credentials/DAU-credentials,374,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training,Training,Internal,200,https://fai.gov/training,646,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training/find-and-register-for-courses,Find and Register for Courses,Internal,200,https://fai.gov/training/find-and-register-for-courses,1106,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training/continuous-learning-opportunities,Continuous Learning,Internal,200,https://fai.gov/training/continuous-learning-opportunities,357,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training/online-training-non-clp,Online Training (Non CLP),Internal,200,https://fai.gov/training/online-training-non-clp,428,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training/frequently-asked-questions-faqs,Training & Certification FAQ,Internal,200,https://fai.gov/training/frequently-asked-questions-faqs,664,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/media-library,Media Library,Internal,200,https://fai.gov/media-library,450,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://www.fai.gov/sites/fai/files/FAI%20Student%20Training%20Guidebook%202024-04-11_508.pdf,Student Training Guidebook,External,200,https://www.fai.gov/sites/fai/files/FAI%20Student%20Training%20Guidebook%202024-04-11_508.pdf,446,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://dau.csod.com/ui/lms-learner-playlist/UsersPlaylists?userId=2064289,FAI CSOD Playlists,External,200,https://dau.csod.com/common/ssoerror.aspx?error=Object+reference+not+set+to+an+instance+of+an+object.,248,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training/contractor-training-resources,Contractor Training & Resources,Internal,200,https://fai.gov/training/contractor-training-resources,118,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/training/innovate-to-win,Innovate to Win,Internal,200,https://fai.gov/training/innovate-to-win,779,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/knowledge-center,Knowledge Center,Internal,200,https://fai.gov/knowledge-center,645,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/content/fai_insights,FAI Insights,Internal,200,https://fai.gov/content/fai_insights,506,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/knowledge-center/human-capital-planning,Human Capital Planning,Internal,200,https://fai.gov/knowledge-center/human-capital-planning,551,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/knowledge-center/careers-acquisition,Careers in Acquisition,Internal,200,https://fai.gov/knowledge-center/careers-acquisition,479,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/knowledge-center/research-studies-reports,"Research, Studies & Reports",Internal,200,https://fai.gov/knowledge-center/research-studies-reports,751,1,None,OK,2026-03-13 07:51:40 EST
https://fai.gov/certification/fac-cor,https://fai.gov/knowledge-center/leadership-development,LEAP Projects,Internal,200,https://fai.gov/knowledge-center/leadership-development,555,1,None,OK,2026-03-13 07:51:40 EST
